"set","instance","variation","incompatibilities","n","m","makespan.bkv","makespan.cplex","gap"
"taillard",17,"i",2,20,10,2010,2419,57.84205837
"taillard",18,"i",0,20,10,2095,2574,63.1863842
"taillard",18,"i",1,20,10,2123,2586,63.27024715
"taillard",18,"i",2,20,10,2132,2528,62.56716943
"taillard",19,"i",0,20,10,2246,2571,62.20438027
"taillard",19,"i",1,20,10,2244,2498,58.82008932
"taillard",19,"i",2,20,10,2291,2643,61.17271179
"taillard",20,"i",0,20,10,2181,2693,62.49039004
"taillard",20,"i",1,20,10,2169,2615,60.79412349
"taillard",20,"i",2,20,10,2184,2535,59.17459542
"taillard",21,"i",0,20,20,3126,4740,66.83163747
"taillard",21,"i",1,20,20,3106,4537,65.26236928
"taillard",21,"i",2,20,20,3101,4101,61.69118997
"taillard",22,"i",0,20,20,2866,4910,70.08310899
"taillard",22,"i",1,20,20,2858,3745,60.42886286
"taillard",22,"i",2,20,20,2862,4227,64.45620489
"taillard",23,"i",0,20,20,3156,4504,63.4128431
"taillard",23,"i",1,20,20,3139,4759,65.82339688
"taillard",23,"i",2,20,20,3133,4933,66.52270702
"taillard",24,"i",0,20,20,2992,4256,61.59070434
"taillard",24,"i",1,20,20,2990,4339,62.26584267
"taillard",24,"i",2,20,20,2994,4059,59.87028029
"taillard",25,"i",0,20,20,3170,4101,61.64370559
"taillard",25,"i",1,20,20,3183,4297,62.96802836
"taillard",25,"i",2,20,20,3177,4679,66.09154257
"taillard",26,"i",0,20,20,3010,4281,62.71820903
"taillard",26,"i",1,20,20,2991,4144,61.45247111
"taillard",26,"i",2,20,20,2990,3645,55.73764026
"taillard",27,"i",0,20,20,3116,4347,63.73867829
"taillard",27,"i",1,20,20,3102,4296,63.50165593
"taillard",27,"i",2,20,20,3111,4443,64.55915424
"taillard",28,"i",0,20,20,2995,4094,61.84485351
"taillard",28,"i",1,20,20,3015,4494,64.56883537
"taillard",28,"i",2,20,20,3006,4144,61.43708705
"taillard",29,"i",0,20,20,3073,3965,59.21583905
"taillard",29,"i",1,20,20,3057,5077,68.01334145
"taillard",29,"i",2,20,20,3047,4737,66.24125932
"taillard",30,"i",0,20,20,2974,4346,65.3013854
"taillard",30,"i",1,20,20,2953,3868,61.65905296
"taillard",30,"i",2,20,20,2955,4489,66.45593881
"taillard",31,"i",0,50,5,3953,4650,84.59618965
"taillard",31,"i",1,50,5,3953,4882,86.94539271
"taillard",31,"i",2,50,5,3953,4984,85.04872487
"taillard",32,"i",0,50,5,4108,4842,86.00155793
"taillard",32,"i",1,50,5,4119,6005,88.813659
"taillard",32,"i",2,50,5,4137,5487,87.13280292
"taillard",33,"i",0,50,5,3836,5427,87.19228883
"taillard",33,"i",1,50,5,3836,4760,85.86134454
"taillard",33,"i",2,50,5,3843,5201,86.97258203
"taillard",34,"i",0,50,5,4030,5474,87.28534892
"taillard",34,"i",1,50,5,4030,5925,88.8494669
"taillard",34,"i",2,50,5,4030,5973,88.66614299
"taillard",35,"i",0,50,5,4102,5249,87.5404839
"taillard",35,"i",1,50,5,4102,5460,87.26861202
"taillard",35,"i",2,50,5,4102,6023,89.00612171
"taillard",36,"i",0,50,5,4035,5131,87.08614835
"taillard",36,"i",1,50,5,4039,5194,87.31457191
"taillard",36,"i",2,50,5,4076,5263,85.40617958
"taillard",37,"i",0,50,5,3964,5235,87.84501192
"taillard",37,"i",1,50,5,3964,5318,87.69937865
"taillard",37,"i",2,50,5,4019,7390,91.24966984
"taillard",38,"i",0,50,5,4071,4928,85.88583075
"taillard",38,"i",1,50,5,4078,6490,89.44102545
"taillard",38,"i",2,50,5,4078,7016,89.9856534
"taillard",39,"i",0,50,5,3807,5443,88.79211625
"taillard",39,"i",1,50,5,3809,5202,87.84668364
"taillard",39,"i",2,50,5,3809,5390,88.20155381
"taillard",40,"i",0,50,5,4028,5031,86.47284646
"taillard",40,"i",1,50,5,4028,5151,87.38514009
"taillard",40,"i",2,50,5,4029,5211,86.91565636
"taillard",41,"i",0,50,10,4364,NA,NA
"taillard",41,"i",1,50,10,4373,NA,NA
"taillard",41,"i",2,50,10,4367,NA,NA
"taillard",42,"i",0,50,10,4197,8020,88.62399317
"taillard",42,"i",1,50,10,4218,7518,87.79336854
"taillard",42,"i",2,50,10,4211,NA,NA
"taillard",43,"i",0,50,10,4180,NA,NA
"taillard",43,"i",1,50,10,4198,NA,NA
"taillard",43,"i",2,50,10,4222,13636,92.77884006
"taillard",44,"i",0,50,10,4376,14096,92.95224418
"taillard",44,"i",1,50,10,4363,17176,93.97522941
"taillard",44,"i",2,50,10,4360,14738,92.98911968
"taillard",45,"i",0,50,10,4409,NA,NA
"taillard",45,"i",1,50,10,4418,NA,NA
"taillard",45,"i",2,50,10,4413,8565,88.16836974
"taillard",46,"i",0,50,10,4433,NA,NA
"taillard",46,"i",1,50,10,4421,233065,99.57965101
"taillard",46,"i",2,50,10,4428,NA,NA
"taillard",47,"i",0,50,10,4511,NA,NA
"taillard",47,"i",1,50,10,4495,NA,NA
"taillard",47,"i",2,50,10,4503,13138,91.91901233
"taillard",48,"i",0,50,10,4362,15434,93.94028748
"taillard",48,"i",1,50,10,4375,NA,NA
"taillard",48,"i",2,50,10,4370,12170,91.88428014
"taillard",49,"i",0,50,10,4196,NA,NA
"taillard",49,"i",1,50,10,4183,13816,93.18787017
"taillard",49,"i",2,50,10,4191,NA,NA
"taillard",50,"i",0,50,10,4500,15655,93.33836917
"taillard",50,"i",1,50,10,4516,9202,88.59776371
"taillard",50,"i",2,50,10,4497,229381,99.55470269
"taillard",51,"i",0,50,20,5768,NA,NA
"taillard",51,"i",1,50,20,5821,NA,NA
"taillard",51,"i",2,50,20,5813,NA,NA
"taillard",52,"i",0,50,20,5519,NA,NA
"taillard",52,"i",1,50,20,5494,NA,NA
"taillard",52,"i",2,50,20,5570,NA,NA
"taillard",53,"i",0,50,20,5441,NA,NA
"taillard",53,"i",1,50,20,5480,NA,NA
"taillard",53,"i",2,50,20,5440,NA,NA
"taillard",54,"i",0,50,20,5597,NA,NA
"taillard",54,"i",1,50,20,5611,NA,NA
"taillard",54,"i",2,50,20,5583,NA,NA
"taillard",55,"i",0,50,20,5453,NA,NA
"taillard",55,"i",1,50,20,5403,NA,NA
"taillard",55,"i",2,50,20,5411,NA,NA
"taillard",56,"i",0,50,20,5487,NA,NA
"taillard",56,"i",1,50,20,5498,NA,NA
"taillard",56,"i",2,50,20,5490,NA,NA
"taillard",57,"i",0,50,20,5565,NA,NA
"taillard",57,"i",1,50,20,5541,NA,NA
"taillard",57,"i",2,50,20,5563,NA,NA
"taillard",58,"i",0,50,20,5572,NA,NA
"taillard",58,"i",1,50,20,5559,NA,NA
"taillard",58,"i",2,50,20,5516,NA,NA
"taillard",59,"i",0,50,20,5662,NA,NA
"taillard",59,"i",1,50,20,5620,NA,NA
"taillard",59,"i",2,50,20,5593,NA,NA
"taillard",60,"i",0,50,20,5612,NA,NA
"taillard",60,"i",1,50,20,5604,NA,NA
"taillard",60,"i",2,50,20,5673,NA,NA
"taillard",1,"I",0,20,5,3533,3632.9955192,63.77051631
"taillard",1,"I",1,20,5,3527,3810.0013885,65.26060614
"taillard",1,"I",2,20,5,3525,3801.9994186,64.11705347
"taillard",2,"I",0,20,5,3303,3512.9979359,64.38944859
"taillard",2,"I",1,20,5,3299,3495.9990625,64.4868594
"taillard",2,"I",2,20,5,3299,3443.0028571,60.06849503
"taillard",3,"I",0,20,5,3081,3221.9961649,59.47244819
"taillard",3,"I",1,20,5,3238,3516.9952478,63.74788255
"taillard",3,"I",2,20,5,3238,3454.0028972,62.59780505
"taillard",4,"I",0,20,5,3640,3855.9963424,60.51198686
"taillard",4,"I",1,20,5,3640,3787.9965892,59.9718069
"taillard",4,"I",2,20,5,3657,3845.0014172,60.61298156
"taillard",5,"I",0,20,5,3334,3620.9951893,64.68718895
"taillard",5,"I",1,20,5,3334,3569.9995222,62.69944817
"taillard",5,"I",2,20,5,3334,3658.9976024,63.63518791
"taillard",6,"I",0,20,5,3282,3715.9997992,59.8388084
"taillard",6,"I",1,20,5,3282,3573.9960775,58.80588435
"taillard",6,"I",2,20,5,3485,3607.0037052,59.30628785
"taillard",7,"I",0,20,5,3048,3167.0040439,61.22537177
"taillard",7,"I",1,20,5,3052,3159.9978993,59.87060942
"taillard",7,"I",2,20,5,3044,3152.0024557,61.24551066
"taillard",8,"I",0,20,5,3252,3465.9963464,61.52891656
"taillard",8,"I",1,20,5,3252,3587.9970776,62.59063069
"taillard",8,"I",2,20,5,3252,3634.0043175,57.10147316
"taillard",9,"I",0,20,5,3401,3658.9968155,63.96015405
"taillard",9,"I",1,20,5,3401,3835.9997769,62.68431022
"taillard",9,"I",2,20,5,3511,3667,59.50368148
"taillard",10,"I",0,20,5,3092,3216.0034801,61.31118987
"taillard",10,"I",1,20,5,3092,3265.0040154,61.43024604
"taillard",10,"I",2,20,5,3092,3381.9986981,62.92285095
"taillard",11,"I",0,20,10,4129,5091.0007173,65.33764548
"taillard",11,"I",1,20,10,4162,4851.9967055,62.94769319
"taillard",11,"I",2,20,10,4327,4891.001252,62.18092868
"taillard",12,"I",0,20,10,4297,5040.9987812,65.70562985
"taillard",12,"I",1,20,10,4404,5112.002516,65.66878615
